Date	Product ID	Product Name	Units Sold	Unit Price	Total Sales
2025-03-17	P005	Printer	9	1121.49	10093.43
2025-03-18	P001	Laptop	13	1264.75	16441.8
2025-03-18	P002	Mouse	3	1313.01	3939.02
2025-03-18	P003	Keyboard	3	449.27	1347.81
2025-03-18	P004	Monitor	10	1260.13	12601.33
2025-03-18	P005	Printer	7	81.62	571.33
2025-03-19	P001	Laptop	18	441.83	7952.91
2025-03-19	P002	Mouse	4	792.96	3171.84
2025-03-19	P003	Keyboard	8	604.11	4832.86
2025-03-19	P004	Monitor	17	430.25	7314.17
2025-03-19	P005	Printer	8	298.21	2385.66
2025-03-20	P001	Laptop	5	249.19	1245.96
2025-03-20	P002	Mouse	19	1216.15	23106.89
2025-03-20	P003	Keyboard	14	384.67	5385.38
2025-03-20	P004	Monitor	18	852.16	15338.88
2025-03-20	P005	Printer	1	280.81	280.81
2025-03-21	P001	Laptop	13	100.1	1301.35
2025-03-21	P002	Mouse	10	282.2	2821.97
2025-03-21	P003	Keyboard	17	460.29	7824.91
2025-03-21	P004	Monitor	8	1352.24	10817.96
2025-03-21	P005	Printer	11	1095.17	12046.87
2025-03-22	P001	Laptop	1	999.2	999.2
2025-03-22	P002	Mouse	12	830.6	9967.19
2025-03-22	P003	Keyboard	19	873.2	16590.8
2025-03-22	P004	Monitor	19	405.83	7710.82
2025-03-22	P005	Printer	10	495.88	4958.76
2025-03-23	P001	Laptop	16	224.07	3585.16
2025-03-23	P002	Mouse	10	242.23	2422.3
2025-03-23	P003	Keyboard	5	974.51	4872.53
2025-03-23	P004	Monitor	12	319.73	3836.78
2025-03-23	P005	Printer	18	1088.81	19598.65
2025-03-24	P001	Laptop	17	1241.07	21098.11
2025-03-24	P002	Mouse	14	303.03	4242.42
2025-03-24	P003	Keyboard	17	744.33	12653.6
2025-03-24	P004	Monitor	18	1320.24	23764.39
2025-03-24	P005	Printer	10	919.35	9193.49
2025-03-25	P001	Laptop	1	1327.55	1327.55
2025-03-25	P002	Mouse	15	538.93	8083.95
2025-03-25	P003	Keyboard	3	1457.01	4371.04
2025-03-25	P004	Monitor	19	671.89	12765.98
2025-03-25	P005	Printer	12	534.45	6413.36
2025-03-26	P001	Laptop	10	1244.79	12447.93
2025-03-26	P002	Mouse	18	64.31	1157.65
2025-03-26	P003	Keyboard	2	875.63	1751.27
2025-03-26	P004	Monitor	8	429.82	3438.53
2025-03-26	P005	Printer	2	736.44	1472.88
2025-03-27	P001	Laptop	8	816.07	6528.56
2025-03-27	P002	Mouse	18	1130.05	20340.86
2025-03-27	P003	Keyboard	4	941.06	3764.24
2025-03-27	P004	Monitor	2	50.37	100.73
2025-03-27	P005	Printer	16	335.33	5365.25
2025-03-28	P001	Laptop	13	985.96	12817.51
2025-03-28	P002	Mouse	14	633.85	8873.87
2025-03-28	P003	Keyboard	11	348.39	3832.27
2025-03-28	P004	Monitor	5	941.29	4706.45
2025-03-28	P005	Printer	4	1239.53	4958.12
2025-03-29	P001	Laptop	14	1477.2	20680.82
2025-03-29	P002	Mouse	17	1116.17	18974.89
2025-03-29	P003	Keyboard	5	1404.58	7022.91
2025-03-29	P004	Monitor	11	887.81	9765.95
2025-03-29	P005	Printer	4	675.25	2701.02
2025-03-30	P001	Laptop	13	463.81	6029.57
2025-03-30	P002	Mouse	12	696.05	8352.55
2025-03-30	P003	Keyboard	17	1213.57	20630.67
2025-03-30	P004	Monitor	2	1416.49	2832.98
2025-03-30	P005	Printer	17	958.77	16299.1
